chr	snpPos	snp.pValue	distToCenter	nearestGene	linkedGene	linkScore	linkDist	enrRank	enrName	enr.pValue	enrGroup
chr1	109817192	0.000000000000000000000000004	440.5	PSRC1	PSRC1	0.91	-8176	2	Thyroid	0.00000000000000024	Endocrine
chr1	109817192	0.000000000000000000000000004	830	PSRC1	PSRC1	0.9	-7786.5	2	Thyroid	0.00000000000000024	Endocrine
chr1	109817192	0.000000000000000000000000004	580.5	PSRC1	PSRC1	0.9	-8036	2	Thyroid	0.00000000000000024	Endocrine
chr1	109817192	0.000000000000000000000000004	371	PSRC1	PSRC1	0.86	-8245.5	2	Thyroid	0.00000000000000024	Endocrine
chr1	109817192	0.000000000000000000000000004	41	PSRC1	PSRC1	0.74	-8575.5	2	Thyroid	0.00000000000000024	Endocrine
chr1	109817192	0.000000000000000000000000004	830	PSRC1	GSTM2	0.39	-392622.5	2	Thyroid	0.00000000000000024	Endocrine
chr1	109817192	0.000000000000000000000000004	580.5	PSRC1	PSRC1	0.9	-8036	3	Liver	0.00000000000000041	Liver
chr1	109817192	0.000000000000000000000000004	830	PSRC1	PSRC1	0.9	-7786.5	3	Liver	0.00000000000000041	Liver
chr1	109817192	0.000000000000000000000000004	371	PSRC1	PSRC1	0.85	-8245.5	3	Liver	0.00000000000000041	Liver
chr1	109817192	0.000000000000000000000000004	41	PSRC1	PSRC1	0.73	-8575.5	3	Liver	0.00000000000000041	Liver
chr1	109817192	0.000000000000000000000000004	41	PSRC1	NA	NA	NA	4	Thyroid Gland	0.000000000000063	Endocrine
chr1	109817192	0.000000000000000000000000004	1376.5	PSRC1	PSRC1	0.87	-7240	5	Lung	0.00000000000014	Lung
chr1	109817192	0.000000000000000000000000004	1300.5	PSRC1	PSRC1	0.87	-7316	5	Lung	0.00000000000014	Lung
chr1	109817192	0.000000000000000000000000004	830	PSRC1	PSRC1	0.86	-7786.5	5	Lung	0.00000000000014	Lung
chr1	109817192	0.000000000000000000000000004	440.5	PSRC1	PSRC1	0.86	-8176	5	Lung	0.00000000000014	Lung
chr1	109817192	0.000000000000000000000000004	580.5	PSRC1	PSRC1	0.85	-8036	5	Lung	0.00000000000014	Lung
