chr	snpPos	snp.pValue	distToCenter	nearestGene	linkedGene	linkScore	linkDist	enrRank	enrName	enr.pValue	enrGroup
chr19	11163601	0.00000000003	2394.5	LDLR	SWSAP1	0.02	-324155	5	T, Thymus, Cd4	0.0000000000042	Blood & T-cell
chr19	11163601	0.00000000003	2257	LDLR	TMEM205	0.02	-295850.5	5	T, Thymus, Cd4	0.0000000000042	Blood & T-cell
chr7	129663496	0.0000000003	1342.5	ZC3HC1	NA	NA	NA	4	Brain	0.0000000000035	Brain
chr7	129663496	0.0000000003	2008.5	ZC3HC1	NA	NA	NA	6	Heart Right Atrium	0.0000000000052	Heart
chr7	129663496	0.0000000003	1342.5	ZC3HC1	NA	NA	NA	6	Heart Right Atrium	0.0000000000052	Heart
chr6	134214525	0.000000002	1603.5	TCF21	TCF21	1	5852	6	Heart Right Atrium	0.0000000000052	Heart
chr6	134214525	0.000000002	1823.5	TCF21	TCF21	1	6072	6	Heart Right Atrium	0.0000000000052	Heart
chr1	56962821	0.00000001	102.5	PLPP3	C8A	0.88	-357556	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr1	56962821	0.00000001	662.5	PLPP3	C8A	0.88	-358321	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr1	56962821	0.00000001	185.5	PLPP3	C8A	0.87	-357844	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr1	56962821	0.00000001	1303.5	PLPP3	C8A	0.87	-358962	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr1	109821511	0.00000001	1531.5	PSRC1	PSRC1	0.86	-5829	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr1	109821511	0.00000001	1052.5	PSRC1	MYBPHL	0.86	-29175	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr1	56962821	0.00000001	662.5	PLPP3	C8B	0.85	-469655	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr1	109821511	0.00000001	838.5	PSRC1	MYBPHL	0.85	-28961	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr1	109821511	0.00000001	1531.5	PSRC1	MYBPHL	0.82	-29654	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr1	109821511	0.00000001	838.5	PSRC1	CELSR2	0.82	28511	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr1	109821511	0.00000001	838.5	PSRC1	PSRC1	0.82	-5136	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr1	109821511	0.00000001	1268.5	PSRC1	PSRC1	0.81	-5566	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr1	56962821	0.00000001	980.5	PLPP3	C8A	0.8	-358639	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr1	56962821	0.00000001	1151.5	PLPP3	C8A	0.78	-356507	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr1	109821511	0.00000001	1268.5	PSRC1	MYBPHL	0.77	-29391	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr1	109821511	0.00000001	441	PSRC1	CELSR2	0.77	28908.5	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr1	56962821	0.00000001	102.5	PLPP3	C8B	0.77	-468890	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr1	56962821	0.00000001	1559.5	PLPP3	C8A	0.76	-359218	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
chr1	56962821	0.00000001	571.5	PLPP3	C8A	0.76	-357087	1	Hepatocellular Carcinoma	0.00000000000000072	Cancer
